team,0-15,16-30,31-45,46-60,61-75,76-90,first_half,second_half,goal_for_total,goal_against_total,0-15_for,16-30_for,31-45_for,46-60_for,61-75_for,76-90_for,0-15_against,16-30_against,31-45_against,46-60_against,61-75_against,76-90_against,0-15_gd,16-30_gd,31-45_gd,46-60_gd,61-75_gd,76-90_gd,0-15_for_pct,16-30_for_pct,31-45_for_pct,46-60_for_pct,61-75_for_pct,76-90_for_pct,0-15_against_pct,16-30_against_pct,31-45_against_pct,46-60_against_pct,61-75_against_pct,76-90_against_pct
FC Barcelona,6-3,3-5,6-0,8-2,6-3,8-4,15-8,22-9,37,17,6,3,6,8,6,8,3,5,0,2,3,4,3,-2,6,6,3,4,16.20%,8.10%,16.20%,21.60%,16.20%,21.60%,17.60%,29.40%,0.00%,11.80%,17.60%,23.50%
Dortmund,4-2,4-1,5-0,5-5,3-6,10-5,13-3,18-16,31,19,4,4,5,5,3,10,2,1,0,5,6,5,2,3,5,0,-3,5,12.90%,12.90%,16.10%,16.10%,9.70%,32.30%,10.50%,5.30%,0.00%,26.30%,31.60%,26.30%
FC Bayern,3-2,2-1,5-4,5-4,7-2,9-5,10-7,21-11,31,18,3,2,5,5,7,9,2,1,4,4,2,5,1,1,1,1,5,4,9.70%,6.50%,16.10%,16.10%,22.60%,29.00%,11.10%,5.60%,22.20%,22.20%,11.10%,27.80%
Arsenal,3-0,5-2,7-2,3-1,6-2,6-0,15-4,15-3,30,7,3,5,7,3,6,6,0,2,2,1,2,0,3,3,5,2,4,6,10.00%,16.70%,23.30%,10.00%,20.00%,20.00%,0.00%,28.60%,28.60%,14.30%,28.60%,0.00%
Paris SG,4-0,5-2,4-5,6-4,4-0,7-3,13-7,17-7,30,14,4,5,4,6,4,7,0,2,5,4,0,3,4,3,-1,2,4,4,13.30%,16.70%,13.30%,20.00%,13.30%,23.30%,0.00%,14.30%,35.70%,28.60%,0.00%,21.40%
Real Madrid,3-2,3-2,2-5,9-2,3-6,9-5,8-9,21-13,29,22,3,3,2,9,3,9,2,2,5,2,6,5,1,1,-3,7,-3,4,10.30%,10.30%,6.90%,31.00%,10.30%,31.00%,9.10%,9.10%,22.70%,9.10%,27.30%,22.70%
Aston Villa,4-3,1-2,3-3,7-2,2-1,6-1,8-8,15-4,23,12,4,1,3,7,2,6,3,2,3,2,1,1,1,-1,0,5,1,5,17.40%,4.30%,13.00%,30.40%,8.70%,26.10%,25.00%,16.70%,25.00%,16.70%,8.30%,8.30%
Atalanta,2-4,2-1,5-1,5-3,3-1,5-1,9-6,13-5,22,11,2,2,5,5,3,5,4,1,1,3,1,1,-2,1,4,2,2,4,9.10%,9.10%,22.70%,22.70%,13.60%,22.70%,36.40%,9.10%,9.10%,27.30%,9.10%,9.10%
Atletico M.,5-4,3-0,4-1,3-3,2-3,5-3,12-5,10-9,22,14,5,3,4,3,2,5,4,0,1,3,3,3,1,3,3,0,-1,2,22.70%,13.60%,18.20%,13.60%,9.10%,22.70%,28.60%,0.00%,7.10%,21.40%,21.40%,21.40%
PSV,1-2,4-5,7-6,2-4,2-3,6-4,12-13,10-11,22,24,1,4,7,2,2,6,2,5,6,4,3,4,-1,-1,1,-2,-1,2,4.50%,18.20%,31.80%,9.10%,9.10%,27.30%,8.30%,20.80%,25.00%,16.70%,12.50%,16.70%
Benfica,4-4,5-1,0-3,3-1,3-4,6-6,9-8,12-11,21,19,4,5,0,3,3,6,4,1,3,1,4,6,0,4,-3,2,-1,0,19.00%,23.80%,0.00%,14.30%,14.30%,28.60%,21.10%,5.30%,15.80%,5.30%,21.10%,31.60%
Feyenoord,5-4,3-2,4-7,0-6,3-3,6-4,12-13,9-13,21,26,5,3,4,0,3,6,4,2,7,6,3,4,1,1,-3,-6,0,2,23.80%,14.30%,19.00%,0.00%,14.30%,28.60%,15.40%,7.70%,26.90%,23.10%,11.50%,15.40%
Man City,4-1,1-0,1-3,7-6,4-3,4-7,6-4,15-16,21,20,4,1,1,7,4,4,1,0,3,6,3,7,3,1,-2,1,1,-3,19.00%,4.80%,4.80%,33.30%,19.00%,19.00%,5.00%,0.00%,15.00%,30.00%,15.00%,35.00%
Inter Milan,4-0,2-0,3-1,4-1,3-0,3-3,9-1,10-4,19,5,4,2,3,4,3,3,0,0,1,1,0,3,4,2,2,3,3,0,21.10%,10.50%,15.80%,21.10%,15.80%,15.80%,0.00%,0.00%,20.00%,20.00%,0.00%,60.00%
Lille,2-2,1-1,5-3,1-3,6-4,4-0,8-6,11-7,19,13,2,1,5,1,6,4,2,1,3,3,4,0,0,0,2,-2,2,4,10.50%,5.30%,26.30%,5.30%,31.60%,21.10%,15.40%,7.70%,23.10%,23.10%,30.80%,0.00%
Liverpool,1-2,3-0,3-3,1-0,6-1,4-0,7-5,11-1,18,6,1,3,3,1,6,4,2,0,3,0,1,0,-1,3,0,1,5,4,5.60%,16.70%,16.70%,5.60%,33.30%,22.20%,33.30%,0.00%,50.00%,0.00%,16.70%,0.00%
Monaco,2-1,2-4,2-2,2-2,4-2,4-6,6-7,10-10,16,17,2,2,2,2,4,4,1,4,2,2,2,6,1,-2,0,0,2,-2,12.50%,12.50%,12.50%,12.50%,25.00%,25.00%,5.90%,23.50%,11.80%,11.80%,11.80%,35.30%
AC Milan,3-1,1-4,4-1,1-3,5-3,1-1,8-6,7-7,15,13,3,1,4,1,5,1,1,4,1,3,3,1,2,-3,3,-2,2,0,20.00%,6.70%,26.70%,6.70%,33.30%,6.70%,7.70%,30.80%,7.70%,23.10%,23.10%,7.70%
Celtic,1-4,1-3,4-3,3-2,3-2,3-3,6-10,9-7,15,17,1,1,4,3,3,3,4,3,3,2,2,3,-3,-2,1,1,1,0,6.70%,6.70%,26.70%,20.00%,20.00%,20.00%,23.50%,17.60%,17.60%,11.80%,11.80%,17.60%
Leverkusen,3-1,3-0,4-1,1-3,3-4,1-3,10-2,5-10,15,12,3,3,4,1,3,1,1,0,1,3,4,3,2,3,3,-2,-1,-2,20.00%,20.00%,26.70%,6.70%,20.00%,6.70%,8.30%,0.00%,8.30%,25.00%,33.30%,25.00%